,原文,主题分布向量
0,赶紧把这种人拉进高铁黑名单本来抢票就够难的了,0.071 0.071 0.071 0.071 0.071 0.571 0.071
1,太嚣张了吧 这种人就该好好治治,0.048 0.048 0.714 0.048 0.048 0.048 0.048
2,无语了 就是仗着人多势众,0.048 0.714 0.048 0.048 0.048 0.048 0.048
3,这高铁上的工作人员哪去了十分钟这不比高铁上化妆严重,0.071 0.071 0.571 0.071 0.071 0.072 0.072
4,三个人及以上可以定性为黑社会团伙性质了吧,0.072 0.071 0.571 0.071 0.071 0.071 0.071
5,实名制这么久了做个黑名单很难么,0.071 0.071 0.071 0.071 0.071 0.071 0.571
6,乘务员呢乘警呢看着好疼,0.071 0.071 0.071 0.571 0.071 0.071 0.071
7,不对不对化妆比占座打人危害大,0.071 0.071 0.071 0.071 0.571 0.071 0.071
8,十分钟这么久乘警呢抓化妆的去了?,0.071 0.071 0.072 0.071 0.072 0.071 0.571
9,我们马上给你讨论卫生巾和化妆品的危害,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10,这时候就需要高铁判官这样的勇士了,0.071 0.071 0.071 0.071 0.571 0.071 0.071
11,终生禁止搭乘高铁动车不就解决了这些恶霸,0.071 0.071 0.071 0.571 0.071 0.071 0.071
12,高铁判官在哪呢,0.071 0.571 0.071 0.071 0.071 0.071 0.071
13,乘警这个时候上哪去了化妆时候出现挺快毕竟软柿子好拿捏,0.071 0.071 0.571 0.071 0.071 0.071 0.071
14,这是高铁仗着人多就为所欲为吗罚款拘留跑不掉了,0.071 0.071 0.071 0.071 0.571 0.071 0.071
15,这种都不算事的还是让我们继续讨论高铁卫生巾和高铁化妆这两个的危害性可比高铁打人大多了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
16,占座本就不合理还要三人殴打一名女子👩太过分了应该依法处理打人者,0.048 0.048 0.048 0.048 0.714 0.048 0.048
17,建议死刑明显有保护伞,0.071 0.071 0.071 0.071 0.071 0.571 0.071
18,不会又定性为互殴吧,0.071 0.071 0.071 0.071 0.571 0.071 0.071
19,这不比高铁化妆严重@穆青糖豆,0.048 0.048 0.714 0.048 0.048 0.048 0.048
20,感觉李女士好无助一个人维权好难基本的公序良俗也需要一对三的独自争取吗我宁可选择自驾了,0.071 0.071 0.071 0.071 0.071 0.071 0.571
21,还能打10分钟工作人员呢,0.071 0.571 0.071 0.071 0.071 0.071 0.071
22,能不能取消无座票都是一样的价格建议把无座取消,0.071 0.071 0.071 0.571 0.071 0.071 0.071
23,又是霸占座位这类人应限制乘坐高铁火车,0.071 0.571 0.071 0.071 0.071 0.071 0.071
24,占位打人的高铁拉黑永不能坐高铁还要追究法律责任,0.571 0.071 0.071 0.071 0.071 0.071 0.071
25,@央视新闻 @央视网 @人民日报 @人民网 @新华社 //@我还叫波猪的海:这高铁上的工作人员哪去了十分钟这不比高铁上化妆严重,0.018 0.018 0.018 0.018 0.018 0.018 0.893
26,区区打人哪有在高铁化妆严重,0.071 0.071 0.071 0.071 0.071 0.571 0.071
27,嗯嗯高铁化妆不文明但打人是被允许的,0.071 0.571 0.071 0.071 0.071 0.071 0.071
28,铁路部门一次又一次的不作为 让这帮人愈发肆无忌惮,0.048 0.048 0.048 0.048 0.048 0.048 0.714
29,十分钟乘警是死的,0.071 0.071 0.071 0.071 0.071 0.071 0.571
30,不接受调解给我去坐牢,0.571 0.071 0.071 0.071 0.071 0.071 0.071
31,十分钟乘务员才到场吗,0.071 0.071 0.571 0.071 0.071 0.071 0.071
32,乘警呢,0.071 0.071 0.071 0.571 0.071 0.071 0.071
33,拳夫又大展身手了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
34,打人者人恒打之啊人,0.071 0.071 0.071 0.071 0.071 0.071 0.571
35,点击天津·天津西站查看更多此地微博,0.048 0.048 0.048 0.714 0.048 0.048 0.048
36,您好恭喜您的视频荣登视频飙升榜社会领域第16名榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳网页链接,0.786 0.036 0.036 0.036 0.036 0.036 0.036
37,那天有位小姐姐想和我换座位 但是我晕高铁特意买的靠窗就没换 和她解释了一下她说没关系 后面还怕我晕 分我溜溜梅吃爱一些情绪稳定有礼貌的人 像新闻里这种就该被抓起来,0.877 0.020 0.020 0.020 0.020 0.020 0.020
38,乘警又不在,0.071 0.071 0.071 0.071 0.071 0.571 0.071
39,卧槽女生一个人出门太可怕了被抢票还被打,0.071 0.571 0.071 0.071 0.071 0.071 0.071
40,一个人坐车还是要注意安全,0.071 0.071 0.071 0.071 0.571 0.071 0.071
41,乘警呢,0.071 0.071 0.071 0.571 0.071 0.071 0.071
42,化妆乘警立马到位打架乘警姗姗来迟,0.072 0.072 0.072 0.072 0.072 0.072 0.571
43,打了十分钟乘务员都没出面,0.071 0.071 0.071 0.071 0.071 0.571 0.071
44,河北就不奇怪了如果是唐山的话,0.071 0.071 0.071 0.071 0.571 0.071 0.071
45,这时候反击回去的话算是互殴还是自卫,0.071 0.571 0.071 0.071 0.071 0.071 0.071
46,好可怕……,0.571 0.071 0.071 0.071 0.071 0.071 0.071
47,还有理了,0.072 0.072 0.072 0.072 0.072 0.072 0.571
48,可真阳刚,0.071 0.071 0.071 0.071 0.571 0.071 0.071
49,故意伤害,0.071 0.071 0.071 0.071 0.571 0.071 0.071
50,乘警和高铁上的服务员呢围观群众干嘛呢,0.071 0.071 0.071 0.571 0.071 0.071 0.071
51,很多地方都是如此平时鸡毛蒜皮的事有人管外国人没座位有管理人员出面协调让座这真正发生纠纷打人了管理人员在哪里,0.571 0.071 0.071 0.071 0.071 0.071 0.071
52,石家庄那边以前黑社会很多我不是地域黑我讲的都是真的,0.071 0.071 0.071 0.571 0.071 0.071 0.071
53,乘务员乘警去哪儿了这种人没人收拾了吗老百姓的生活还能正常吗,0.072 0.072 0.072 0.072 0.072 0.072 0.571
54,结果是故意伤害还是寻意滋事呢,0.072 0.072 0.072 0.072 0.072 0.571 0.072
55,看着好生气违法成本太低这次是教育还是教育呢,0.071 0.071 0.071 0.571 0.071 0.071 0.071
56,乘警是和乘务员在一起写小说吗这么久[笑而不語],0.048 0.714 0.048 0.048 0.048 0.048 0.048
57,不能直接说一家三口占座不成暴打女乘客新闻媒体现在不懂什么叫言简意赅了,0.072 0.072 0.072 0.072 0.072 0.072 0.571
58,高铁上为什么总是发生占座纠纷铁路局真的对此无责任吗,0.072 0.072 0.072 0.072 0.571 0.072 0.072
59,十分钟 乘警呢,0.048 0.048 0.048 0.714 0.048 0.048 0.048
60,三个壮汉对一个弱女子如此呆毒,0.072 0.072 0.072 0.072 0.571 0.072 0.072
61,寻衅滋事罪故意伤害罪入刑,0.071 0.571 0.071 0.071 0.071 0.071 0.071
62,管理不善处置不当才屡屡次出现霸座还有理的事件,0.072 0.072 0.072 0.072 0.072 0.571 0.072
63,真的是太嚣张了占别人座位还动手希望出台相关政策法规给老百姓的基本安全得以保障,0.072 0.072 0.072 0.072 0.571 0.072 0.072
64,这种人赶紧拉黑名单啊别到处祸害别人太危险了,0.072 0.072 0.072 0.571 0.072 0.072 0.072
65,为什么不能有高铁黑名单飞机黑名单,0.072 0.571 0.072 0.072 0.072 0.072 0.072
66,警察别和稀泥就好别搞什么各打五十大板这类的事犯错了不讲理就应该受到惩罚,0.072 0.072 0.570 0.072 0.072 0.072 0.072
67,我震惊😱不要和解必须给那几个人弄个案底,0.714 0.048 0.048 0.048 0.048 0.048 0.048
68,是那一家三口先动的手还扒人家衣服这像话吗这都没人管就因为老人是国家公职人员连乘务员警察都不敢管就知道欺负老百姓,0.072 0.072 0.072 0.072 0.571 0.072 0.072
69,@中国铁路 你怎么说,0.048 0.048 0.048 0.048 0.048 0.713 0.048
70,回复@彤彤不哭Y 的表态:谢谢@彤彤不哭Y 的点赞支持,0.877 0.020 0.020 0.020 0.020 0.020 0.020
71,乘务员和乘警呢,0.072 0.072 0.072 0.072 0.571 0.072 0.072
72,这种工作人员才不管//@我还叫波猪的海:这高铁上的工作人员哪去了十分钟这不比高铁上化妆严重,0.036 0.036 0.785 0.036 0.036 0.036 0.036
73,看着就是一副没文化的恶人样对这种粗人就不要跟他们硬杠一开始就召唤乘务员警察介入让他们自生自灭总有得到惩治的时候,0.072 0.072 0.072 0.072 0.571 0.072 0.072
74,抓,0.143 0.143 0.143 0.143 0.143 0.143 0.143
75,欺软怕硬,0.071 0.071 0.071 0.071 0.571 0.071 0.071
76,对打人者严处理严励打击,0.071 0.071 0.571 0.071 0.071 0.071 0.071
77,呵呵,0.071 0.071 0.571 0.071 0.071 0.071 0.071
78,为啥坐高铁总能发生奇葩和不可思议事件呢,0.071 0.071 0.071 0.071 0.071 0.071 0.571
79,散粉到别人身上可比拳头到别人身上严重多了呢,0.072 0.072 0.072 0.072 0.072 0.571 0.072
80,为啥高铁上这么多奇葩事,0.072 0.072 0.072 0.571 0.072 0.072 0.072
81,查查这女的退休了吗退休前两口子在哪里工作财产等问题有什么不对称的是不是家里有楼那种,0.072 0.072 0.570 0.072 0.072 0.072 0.072
82,别调解谢谢,0.072 0.072 0.072 0.571 0.072 0.072 0.072
83,就知道始作俑者是女性她家里人几代都要被连累了,0.071 0.071 0.071 0.071 0.571 0.071 0.071
84,估计热度一过又不了了之建议李女士找人把那3个流氓打一顿反正也没人管最多定性为互殴,0.072 0.571 0.072 0.072 0.072 0.072 0.072
85,乘务员呢在找化妆的美女嘛高铁厌女这么严重吗打了十分钟都没来人是吧,0.072 0.072 0.072 0.072 0.571 0.072 0.072
86,网暴下这对夫妻吧,0.072 0.072 0.072 0.072 0.072 0.571 0.072
87,上次我坐高铁人家占我位置半小时多我都没敢吭气只能旁边站着就怕挨揍跟乘务员说了也白说,0.072 0.072 0.072 0.072 0.571 0.072 0.072
88,这些人应该这一生禁止乘坐任何一种交通工具,0.072 0.571 0.072 0.072 0.072 0.072 0.072
89,关起来,0.072 0.072 0.570 0.072 0.072 0.072 0.072
90,真的搞不懂那些喜欢换坐的人一趟旅程也就短短的几个小时非得要坐在一起吗?难道是生离死别 建议以后@中国铁路要出个政策禁止换座不过@它也没球用因为它不会管的,0.024 0.024 0.024 0.857 0.024 0.024 0.024
91,类似的新闻看多了铁路方面是到了下猛药的时候帮助某些人长长记性可以关他几天拉进黑名单……相信只要想治他们总有办法的吧要不然这好好的乘车环境谁来保障,0.714 0.048 0.048 0.048 0.048 0.048 0.048
92,乘J不是化妆就好,0.072 0.072 0.072 0.072 0.072 0.072 0.571
93,无法无天……,0.071 0.571 0.071 0.071 0.071 0.071 0.071
94,啥人都有太可怕了,0.071 0.071 0.071 0.071 0.571 0.071 0.071
95,高铁上还会发生这种事真是长见识了太可怕了我也不是没遇到过买的座位被占这种事很多次都是鼓起勇气要回来的以后我宁愿站着都不敢要回座位了,0.071 0.571 0.071 0.071 0.071 0.071 0.071
96,这种人真是辣鸡啊怎么有这么多不守规矩规定规则的人呢还得理直气壮强词夺理,0.571 0.071 0.071 0.071 0.071 0.071 0.071
97,这么难舍难分吗座位非要坐一起,0.071 0.071 0.071 0.071 0.571 0.071 0.071
98,你们发的新闻从来就不进行认证吗别人发你们蹭热点就上管他真相如何,0.072 0.072 0.072 0.571 0.072 0.072 0.072
99,翻回来看视频里面的配音和内容描述到底是不是那个女生说和描述的还是这个某个营销号自己配的内容以后是有图有视频都不一定有真相了,0.072 0.072 0.072 0.571 0.072 0.072 0.072
100,应该加大处罚力度,0.072 0.072 0.570 0.072 0.072 0.072 0.072
101,建议高铁对霸座人设立黑名单3或5年期不得乘坐,0.571 0.072 0.072 0.072 0.072 0.072 0.072
102,派出所是怎么处理的,0.072 0.072 0.570 0.072 0.072 0.072 0.072
103,都什么人哪,0.072 0.072 0.570 0.072 0.072 0.072 0.072
104,恶人还得恶人磨,0.072 0.571 0.072 0.072 0.072 0.072 0.072
105,估计会被和解简史不出台严厉政策这种事只会越来越多,0.072 0.571 0.072 0.072 0.072 0.072 0.072
106,高铁遇到不讲理的占座 真的很无奈,0.048 0.048 0.048 0.048 0.048 0.048 0.714
107,财神爷来了,0.072 0.072 0.570 0.072 0.072 0.072 0.072
108,严惩,0.571 0.071 0.071 0.071 0.071 0.071 0.071
109,高铁座位坐的那叫一个乱七八糟,0.072 0.072 0.072 0.571 0.072 0.072 0.072
110,别被执法部门劝的的和解,0.072 0.072 0.072 0.072 0.072 0.072 0.571
111,为什么要给打人者打码,0.072 0.072 0.072 0.072 0.072 0.072 0.571
112,人家忙着管化妆呢,0.571 0.072 0.072 0.072 0.072 0.072 0.072
113,一家子坏蛋牛氓,0.072 0.072 0.072 0.072 0.072 0.571 0.072
114,黑名单黑名单,0.071 0.571 0.071 0.071 0.071 0.071 0.071
115,10分钟的时间乘警都没来阻止暴力行为吗,0.072 0.072 0.072 0.072 0.571 0.072 0.072
116,车上的服务员和乘警都躲哪里去了,0.072 0.072 0.570 0.072 0.072 0.072 0.072
117,躺下提车,0.072 0.571 0.072 0.072 0.072 0.072 0.072
118,真的是高铁工作人员呢,0.072 0.571 0.072 0.072 0.072 0.072 0.072
119,这种占座还打人的人品真是差,0.072 0.072 0.072 0.072 0.571 0.072 0.072
120,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
121,三个情绪不稳定的出生,0.072 0.072 0.072 0.072 0.072 0.072 0.571
122,河北,0.071 0.071 0.571 0.071 0.071 0.071 0.071
123,拘留,0.071 0.071 0.071 0.571 0.071 0.072 0.071
124,这种人霸道惯了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
125,再不严惩的话谁还敢坐高铁了安全感在哪里,0.071 0.071 0.071 0.071 0.571 0.071 0.071
126,怎么都盯着工作人员怎么不来你们怎么不说旁边那群麻木的人怎么不帮忙报警也要等时间啊,0.071 0.071 0.071 0.071 0.071 0.571 0.071
127,书无店砸//@得到了想得到的 :不对不对化妆比占座打人危害大,0.036 0.036 0.036 0.036 0.786 0.036 0.036
128,感觉坐绿皮的就没那么多事每次看到的新闻都是发生在高铁上,0.071 0.571 0.071 0.071 0.071 0.071 0.071
129,故意伤害,0.071 0.071 0.071 0.071 0.571 0.071 0.071
130,十分钟高铁上的工作人员呢几个人群殴一个女生脸呢,0.071 0.071 0.071 0.071 0.071 0.571 0.071
131,这哪有在高铁上化妆严重啊,0.071 0.571 0.071 0.071 0.071 0.071 0.071
132,哎哎,0.071 0.071 0.071 0.071 0.071 0.571 0.071
133,wjejdjdkdj,0.071 0.071 0.071 0.571 0.071 0.071 0.071
134,wujwdjdjdjr,0.071 0.071 0.071 0.071 0.071 0.071 0.571
135,这几个人能进去改造不,0.071 0.571 0.071 0.071 0.071 0.071 0.071
136,有后续在发吧这种看着生气希望这几个打人的受到法律制裁,0.071 0.571 0.071 0.071 0.071 0.071 0.071
