微博id,评论页码,评论id,评论时间,评论者赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4.95E+15,1,4.95E+15,2023/9/16 11:15,25168,来自江苏,不出门干嘛要洗脸,3664115191,男,348,43,赶紧把这种人拉进高铁黑名单！本来抢票就够难的了
4.95E+15,1,4.95E+15,2023/9/16 11:24,13383,来自江苏,帝国刘怼王脾气很大,6031632902,男,165,42,太嚣张了吧 这种人就该好好治治
4.95E+15,1,4.95E+15,2023/9/16 11:26,8244,来自江苏,白开水就行OK,1970831477,女,333,51,无语了 就是仗着人多势众
4.95E+15,1,4.95E+15,2023/9/16 13:14,18637,来自江西,我还叫波猪的海,3055820073,女,385,250,这。。。高铁上的工作人员哪去了，十分钟。。。这不比高铁上化妆严重？
4.95E+15,1,4.95E+15,2023/9/16 13:15,7987,来自广东,你好叻啊十仔,3905312283,女,480,3800,三个人及以上可以定性为黑社会团伙性质了吧
4.95E+15,1,4.95E+15,2023/9/16 13:31,7127,来自陕西,源氏奶油蘑菇汤,5099049044,女,924,757,实名制这么久了，做个黑名单很难么？
4.95E+15,1,4.95E+15,2023/9/16 13:08,4690,来自广东,菠萝他杀,5022071798,女,128,177,乘务员呢乘警呢看着好疼
4.95E+15,1,4.95E+15,2023/9/16 13:00,4263,来自陕西,得到了想得到的,6119148856,女,69,9,不对不对，化妆比占座打人危害大
4.95E+15,1,4.95E+15,2023/9/16 13:48,2853,来自河北,萨达哈鲁喵喵喵,7724145858,女,345,1065,十分钟这么久？乘警呢？抓化妆的去了?
4.95E+15,1,4.95E+15,2023/9/16 14:01,1312,来自河北,梦魇之启,7796036376,女,1611,2140,我们马上给你讨论卫生巾和化妆品的危害
4.95E+15,1,4.95E+15,2023/9/16 13:30,1335,来自陕西,游戏投投机,6468421833,女,9865,332.3万,这时候就需要高铁判官这样的勇士了
4.95E+15,1,4.95E+15,2023/9/16 13:27,767,来自四川,桃酱果子,1289129947,女,1023,354,终生禁止搭乘高铁动车不就解决了这些恶霸
4.95E+15,1,4.95E+15,2023/9/16 12:59,713,来自北京,锦鲤六宝,5375248381,男,0,64.8万,高铁判官在哪呢
4.95E+15,1,4.95E+15,2023/9/16 14:03,604,来自新加坡,顾盼四游,5026255629,女,531,115,乘警这个时候上哪去了？化妆时候出现挺快，毕竟软柿子好拿捏
4.95E+15,1,4.95E+15,2023/9/16 12:59,445,来自北京,锦鲤六宝,5375248381,男,0,64.8万,这是高铁，仗着人多就为所欲为吗？罚款拘留跑不掉了
4.95E+15,1,4.95E+15,2023/9/16 14:01,435,来自广东,诗酒月华欢,1189343980,女,357,34,这种都不算事的，还是让我们继续讨论高铁卫生巾和高铁化妆，这两个的危害性可比高铁打人大多了
4.95E+15,1,4.95E+15,2023/9/16 14:26,203,来自河北,何珊瑶,1633843891,女,20000,16.9万,占座本就不合理，还要三人殴打一名女子👩，太过分了，应该依法处理打人者。
4.95E+15,1,4.95E+15,2023/9/16 13:37,224,来自重庆,鸽子爱吃担担面,6331774468,男,934,1286,建议死刑，明显有保护伞
4.95E+15,1,4.95E+15,2023/9/16 13:25,197,来自山东,你以为的并不是,6457366702,男,281,48,不会又定性为互殴吧
4.95E+15,2,4.95E+15,2023/9/16 13:45,116,来自北京,杨京墨L,5710879088,女,283,74,这不比高铁化妆严重？@穆青糖豆
4.95E+15,2,4.95E+15,2023/9/16 14:36,116,来自天津,强仕之年,1732589352,女,204,410,感觉李女士好无助，一个人维权好难，基本的公序良俗也需要一对三的独自争取吗？我宁可选择自驾了。
4.95E+15,2,4.95E+15,2023/9/16 13:46,82,来自陕西,圣诞girl,1616020474,女,842,105,还能打10分钟，工作人员呢
4.95E+15,2,4.95E+15,2023/9/16 13:34,95,来自重庆,权哥我是你贤嫂啊,1796201457,女,207,243,能不能取消无座票，都是一样的价格，建议把无座取消
4.95E+15,2,4.95E+15,2023/9/16 13:32,113,来自广东,幸福并快乐着GGH,2436755223,男,87,171,又是霸占座位，这类人应限制乘坐高铁火车。
4.95E+15,2,4.95E+15,2023/9/16 13:48,73,来自浙江,幽幽紫藤i,5476628129,男,3941,297,占位打人的高铁拉黑，永不能坐高铁，还要追究法律责任。
4.95E+15,2,4.95E+15,2023/9/16 13:36,81,来自湖北,Tammy-6918,6470068071,女,1262,19,@央视新闻 @央视网 @人民日报 @人民网 @新华社 //@我还叫波猪的海:这。。。高铁上的工作人员哪去了，十分钟。。。这不比高铁上化妆严重？
4.95E+15,2,4.95E+15,2023/9/16 14:09,78,来自江西,是韭菜不是砧板,5237050487,女,68,166,区区打人，哪有在高铁化妆严重
4.95E+15,2,4.95E+15,2023/9/16 13:52,76,来自福建,千万要早睡a,7374857272,女,78,7,嗯嗯高铁化妆不文明，但打人是被允许的
4.95E+15,2,4.95E+15,2023/9/16 13:52,51,来自浙江,太阳太强烈会把五谷晒干,1683698097,男,1600,1523,铁路部门一次又一次的不作为 让这帮人愈发肆无忌惮
4.95E+15,2,4.95E+15,2023/9/16 13:35,57,来自广东,真的不能被发现,5877307084,男,535,45,十分钟？乘警是死的？
4.95E+15,2,4.95E+15,2023/9/16 14:28,49,来自浙江,鲤鱼红鲤鱼,2562350714,男,1401,705,不接受调解，给我去坐牢
4.95E+15,2,4.95E+15,2023/9/16 14:20,22,来自广东,深深H柯柯,6319864328,女,617,2291,十分钟乘务员才到场吗
4.95E+15,2,4.95E+15,2023/9/16 14:05,20,来自北京,叽里咕噜磨磨唧唧,1906103677,男,1428,1797,乘警呢？
4.95E+15,2,4.95E+15,2023/9/16 13:38,24,来自上海,现代医学专治各种不服,7078758630,女,450,69,拳夫又大展身手了
4.95E+15,2,4.95E+15,2023/9/16 13:56,9,来自广东,请求和你初春可见,2112050030,男,189,763,打人者人恒打之啊人
4.95E+15,2,4.99E+15,2024/1/12 21:43,0,,微博位置,2196734667,男,0,0,点击天津·天津西站，查看更多此地微博！
4.95E+15,2,4.95E+15,2023/9/16 15:45,0,,微博视频,5186027114,男,977,1549万,您好，恭喜您的视频荣登视频飙升榜，社会领域第16名，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接
4.95E+15,3,4.95E+15,2023/9/16 14:50,20,来自云南,Sawako__,1897799660,女,561,2881,那天有位小姐姐想和我换座位 但是我晕高铁特意买的靠窗就没换 和她解释了一下她说没关系 后面还怕我晕 分我溜溜梅吃爱一些情绪稳定有礼貌的人 像新闻里这种就该被抓起来
